filename,width,height,class,xmin,ymin,xmax,ymax
000_190312_0001.jpg,512,512,Plastic_0,144,7,307,487
000_190312_0002.jpg,512,512,Plastic_0,124,1,310,484
000_190312_0003.jpg,512,512,Plastic_0,111,1,284,495
000_190312_0004.jpg,512,512,Plastic_0,173,1,343,512
000_190312_0005.jpg,512,512,Plastic_0,155,1,328,446
000_190312_0006.jpg,512,512,Plastic_0,191,6,380,509
000_190312_0007.jpg,512,512,Plastic_0,107,1,281,493
000_190312_0008.jpg,512,512,Plastic_0,185,24,353,510
000_190312_0009.jpg,512,512,Plastic_0,213,84,336,432
000_190312_0010.jpg,512,512,Plastic_0,130,96,286,441
000_190312_0011.jpg,512,512,Plastic_0,140,90,289,422
000_190312_0012.jpg,512,512,Plastic_0,211,115,356,445
000_190312_0013.jpg,512,512,Plastic_0,197,112,336,450
000_190312_0014.jpg,512,512,Plastic_0,138,68,290,359
000_190312_0015.jpg,512,512,Plastic_0,151,12,302,336
000_190312_0016.jpg,512,512,Plastic_0,144,104,315,506
000_190312_0017.jpg,512,512,Plastic_0,228,61,346,385
000_190312_0018.jpg,512,512,Plastic_0,163,110,299,446
000_190312_0019.jpg,512,512,Plastic_0,93,98,262,456
000_190312_0020.jpg,512,512,Plastic_0,128,22,336,512
000_190312_0021.jpg,512,512,Plastic_0,179,1,346,469
000_190312_0022.jpg,512,512,Plastic_0,203,6,375,511
000_190312_0023.jpg,512,512,Plastic_0,155,52,301,497
000_190312_0024.jpg,512,512,Plastic_0,170,6,329,475
000_190312_0025.jpg,512,512,Plastic_0,108,1,395,439
000_190312_0026.jpg,512,512,Plastic_0,157,126,364,508
000_190312_0027.jpg,512,512,Plastic_0,111,21,346,499
000_190312_0028.jpg,512,512,Plastic_0,104,192,294,512
000_190312_0029.jpg,512,512,Plastic_0,172,117,374,512
000_190312_0030.jpg,512,512,Plastic_0,172,41,332,358
000_190312_0031.jpg,512,512,Plastic_0,152,18,313,512
000_190312_0032.jpg,512,512,Plastic_0,162,1,340,512
000_190312_0033.jpg,512,512,Plastic_0,197,3,365,508
000_190312_0034.jpg,512,512,Plastic_0,166,2,336,512
000_190312_0035.jpg,512,512,Plastic_0,154,52,315,435
000_190312_0036.jpg,512,512,Plastic_0,130,66,281,436
000_190312_0037.jpg,512,512,Plastic_0,187,100,330,435
000_190312_0038.jpg,512,512,Plastic_0,141,110,301,511
000_190312_0039.jpg,512,512,Plastic_0,188,17,341,476
000_190312_0040.jpg,512,512,Plastic_0,122,2,300,512
000_190312_0041.jpg,512,512,Plastic_0,178,59,313,494
000_190312_0042.jpg,512,512,Plastic_0,204,46,345,492
000_190312_0043.jpg,512,512,Plastic_0,177,18,344,511
000_190312_0044.jpg,512,512,Plastic_0,150,101,305,446
000_190312_0045.jpg,512,512,Plastic_0,154,152,293,468
000_190312_0046.jpg,512,512,Plastic_0,150,128,291,451
000_190312_0047.jpg,512,512,Plastic_0,163,28,340,499
000_190312_0048.jpg,512,512,Plastic_0,181,40,350,454
000_190312_0049.jpg,512,512,Plastic_0,113,66,305,421
000_190312_0050.jpg,512,512,Plastic_0,166,51,343,406
000_190312_0051.jpg,512,512,Plastic_0,141,33,326,469
000_190312_0052.jpg,512,512,Plastic_0,145,30,326,492
000_190312_0053.jpg,512,512,Plastic_0,181,34,361,494
000_190312_0054.jpg,512,512,Plastic_0,175,17,330,469
000_190312_0055.jpg,512,512,Plastic_0,154,6,328,502
000_190312_0056.jpg,512,512,Plastic_0,139,17,310,508
000_190312_0057.jpg,512,512,Plastic_0,157,102,333,506
000_190312_0058.jpg,512,512,Plastic_0,134,81,319,506
000_190312_0059.jpg,512,512,Plastic_0,137,36,320,466
000_190312_0060.jpg,512,512,Plastic_0,137,32,324,461
000_190312_0061.jpg,512,512,Plastic_0,215,81,390,429
000_190312_0062.jpg,512,512,Plastic_0,135,53,308,390
000_190312_0063.jpg,512,512,Plastic_0,206,115,375,461
000_190312_0064.jpg,512,512,Plastic_0,188,107,376,512
000_190312_0065.jpg,512,512,Plastic_0,136,111,346,511
000_190312_0066.jpg,512,512,Plastic_0,141,127,321,484
000_190312_0067.jpg,512,512,Plastic_0,169,187,351,453
000_190312_0068.jpg,512,512,Plastic_0,172,139,331,492
000_190312_0069.jpg,512,512,Plastic_0,148,32,320,457
000_190312_0070.jpg,512,512,Plastic_0,151,19,315,491
000_190312_0071.jpg,512,512,Plastic_0,164,44,317,499
000_190312_0072.jpg,512,512,Plastic_0,159,30,314,506
